iter	Logloss
0	0.6012328863
1	0.5376288393
2	0.4862522234
3	0.452029207
4	0.4292616442
5	0.4101203348
6	0.3948080481
7	0.3840427337
8	0.3760877044
9	0.3690385375
10	0.3629812241
11	0.3579065348
12	0.3550721715
13	0.3526513729
14	0.3494372527
15	0.3465792965
16	0.3447890127
17	0.3433099458
18	0.3414211916
19	0.3396949857
20	0.3380159726
21	0.3370127281
22	0.3358575898
23	0.3346884408
24	0.3338302607
25	0.3326081628
26	0.3317492307
27	0.3307880619
28	0.3301394759
29	0.3292136874
30	0.3286482595
31	0.3281753022
32	0.3275963528
33	0.3269835789
34	0.3263248868
35	0.325857829
36	0.3254341739
37	0.3249013696
38	0.3243484543
39	0.3236581303
40	0.3233029497
41	0.3228788004
42	0.3225716279
43	0.3221788008
44	0.3219041556
45	0.3214305073
46	0.3209740075
47	0.3206738129
48	0.3204162948
49	0.3200177934
50	0.31977551
51	0.3192580726
52	0.318938901
53	0.3187598439
54	0.3183934948
55	0.3180849371
56	0.3177818799
57	0.3174790047
58	0.3171724232
59	0.3169097553
60	0.3165326805
61	0.3162839581
62	0.3161167386
63	0.31596213
64	0.3158054539
65	0.3156181742
66	0.3154705517
67	0.3152525196
68	0.314990201
69	0.3148140302
70	0.3145932925
71	0.3144512001
72	0.3141848743
73	0.3139143841
74	0.3137243548
75	0.3135564563
76	0.3132259965
77	0.3130778839
78	0.3129045898
79	0.3127558413
80	0.3125499465
81	0.3123875723
82	0.3122228897
83	0.3121180423
84	0.311979034
85	0.3118310477
86	0.3115929327
87	0.3114163626
88	0.3112469338
89	0.3110531793
90	0.3108867515
91	0.3107195269
92	0.3105649589
93	0.3104301765
94	0.3102734574
95	0.3101184226
96	0.3099783783
97	0.3096863803
98	0.3095608
99	0.3093778702
100	0.3092369794
101	0.3091299909
102	0.3089105189
103	0.3087851121
104	0.3086080705
105	0.3084257114
106	0.3081976652
107	0.3079625046
108	0.3078104235
109	0.3076963713
110	0.3076081922
111	0.307420972
112	0.3072418411
113	0.3070874805
114	0.3069628038
115	0.3067234845
116	0.3065297918
117	0.3063310902
118	0.3062098345
119	0.3059887222
120	0.3058284161
121	0.3056587395
122	0.3054344184
123	0.3052064193
124	0.3050942004
125	0.3049668657
126	0.3048233748
127	0.3046492912
128	0.3044834186
129	0.304356655
130	0.3042407625
131	0.3041140644
132	0.3039537982
133	0.3037690152
134	0.3035980579
135	0.3034880071
136	0.3033552132
137	0.3032026372
138	0.3030128092
139	0.3028426702
140	0.3026655678
141	0.3025091151
142	0.3023204097
143	0.3021986802
144	0.3020488985
145	0.301911248
146	0.301744865
147	0.3016213198
148	0.301507125
149	0.3013157664
150	0.3012205883
151	0.3009759804
152	0.3008715762
153	0.300735536
154	0.3005279804
155	0.3004184264
156	0.3002756513
157	0.3001668979
158	0.3000388968
159	0.2998842602
160	0.2997066597
161	0.2996028028
162	0.299500692
163	0.2992710465
164	0.2991109281
165	0.2990293803
166	0.2989466894
167	0.2988054517
168	0.2987136326
169	0.298597057
170	0.2984428522
171	0.2982968084
172	0.298156835
173	0.2980069124
174	0.2978870217
175	0.2977262706
176	0.2975507678
177	0.29742561
178	0.2972559902
179	0.2971547467
180	0.2970143592
181	0.2969085051
182	0.2968348709
183	0.2967275177
184	0.296568068
185	0.296441413
186	0.2963515827
187	0.2961822254
188	0.2960672834
189	0.2958750834
190	0.2957800801
191	0.2956701818
192	0.2955781475
193	0.2954237389
194	0.295263701
195	0.2951403064
196	0.2950326603
197	0.2949512326
198	0.2948757997
199	0.2947131651
